ejecucion,http_code,time_total_s
1,200,0.002501
2,200,0.001936
3,200,0.002044
4,200,0.001800
5,200,0.002194
6,200,0.002440
7,200,0.002154
8,200,0.002441
9,200,0.002736
10,200,0.002258
11,200,0.001878
12,200,0.001998
13,200,0.002222
14,200,0.001852
15,200,0.002258
16,200,0.001884
17,200,0.002250
18,200,0.001851
19,200,0.001989
20,200,0.001734
21,200,0.001740
22,200,0.002118
23,200,0.002094
24,200,0.001718
25,200,0.001996
26,200,0.002429
27,200,0.002030
28,200,0.001856
29,200,0.002020
30,200,0.002134
